domain,ecotype,asn,country,http_status,publishers,file_formats,download_hosts,title_count,severity,active,latest_year,is_piracy
0.torrentoyunindir.com,torrent,AS13335,US,OK,Capcom,NSP/XCI; torrent,,0,2,False,,True
0777sz.com,unclassified,AS13335,US,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Sega; Konami,APK,,0,4,True,2026,True
10-windows.ru,unclassified,AS198610,RU,OK,Sony; Activision; Valve,,,0,4,True,2026,True
100-downloads.com,unclassified,AS30633,US,OK,EA; Ubisoft; Activision; Rockstar; Konami; Valve,,,0,4,True,2026,True
100-gb-free-cloud-storage-drive-from-degoo.apk.cafe,ROM,AS60144,LV,OK,Nintendo; Capcom; Activision; Rockstar; Sega; Konami; 2K Games,ISO; APK,,4,4,True,2026,True
100-in-1-games.ru.malavida.com,unclassified,,,OK,Nintendo; Square Enix; Capcom; Activision,,,3,4,True,2026,False
100-in-1-games.soft112.com,unclassified,,,OK,Square Enix; Capcom; EA; Activision; Konami; Valve,,,5,4,True,2026,True
100-in-1-games.softonic.ru,unclassified,,,EMPTY,,,,0,0,False,,False
1000-followers-get-likes.soft112.com,unclassified,,,OK,Square Enix; Capcom; Activision; Rockstar; Konami; Valve,,,5,4,True,2026,True
101-in-1-games.ru.uptodown.com,unclassified,,,OK,Square Enix; Capcom; Sony; Activision; Rockstar; Konami,,,10,2,False,,False
101-in-1-games.uptodown.com,unclassified,,,OK,Square Enix; Capcom; Sony; Activision; Rockstar; Sega; Konami,,,10,2,False,,True
10212410.gig-games.net,unclassified,,,EMPTY,,,,0,0,False,,False
10deaddoves.com,unclassified,AS395409,US,OK,Sega,,,3,1,False,,False
123freebrushes.com,unclassified,AS13335,US,OK,Sony; Activision; Valve,,,0,4,True,2026,True
123freevectors.com,unclassified,AS13335,US,OK,Sony; Activision; Rockstar,,,4,4,True,2026,True
123movies.website,unclassified,AS13335,US,OK,Nintendo; Square Enix; Capcom; Sony; Ubisoft; Activision; Bethesda; Sega; Konami; CD Projekt; 2K Games,,,11,4,True,2026,True
130326.tartugi.site,unclassified,AS216071,AE,EMPTY,,,,0,0,False,,False
1337x.proxyninja.org,torrent,AS13335,US,OK,Capcom,,,0,1,False,,False
1337xto.to,torrent,AS13335,US,OK,Capcom,,,1,1,False,,True
1337xx.to,torrent,AS13335,US,OK,Capcom,,,1,1,False,2024,True
1377x.to,unclassified,,,OK,Capcom,,,1,1,False,2024,True
1945-air-forces.apk.cafe,mobile,AS60144,LV,OK,Nintendo; Capcom; EA; Ubisoft; Activision; Rockstar; Bandai Namco; Sega; Konami; 2K Games,ISO; APK,,6,4,True,2026,True
1964-n64-emulator.cn.uptodown.com,ROM,,,OK,Nintendo; Square Enix; Capcom; Sony; Activision; Rockstar; Sega; Konami,,,6,2,False,,False
1964-n64-emulator.uptodown.com,ROM,,,OK,Nintendo; Square Enix; Capcom; Sony; EA; Activision; Rockstar; Sega; Konami; Microsoft,,,9,2,False,,True
1hack.us,unclassified,AS13335,US,OK,Ubisoft; Activision; Rockstar,,,0,4,True,2026,True
1k-subscribers.soft112.com,unclassified,,,OK,Square Enix; Capcom; Activision; Konami; Valve,APK,,5,4,True,2026,True
1progs.ru,unclassified,AS204601,NL,OK,Nintendo; Ubisoft; Activision; Rockstar; Sega,,,1,4,True,2026,False
2023game.com,unclassified,,,OK,,,,1,1,False,,False
20minutes.fr,unclassified,AS16509,US,OK,Nintendo; Square Enix; EA; Ubisoft; Activision; Konami; Valve,,,10,4,True,2026,False
21c382906www.lafa.site,unclassified,AS13335,US,OK,Capcom,,,0,1,False,,False
247blackjack.com,unclassified,AS16509,US,OK,Ubisoft; Activision; Rockstar; Sega; Konami,,,16,2,False,2024,True
247checkers.com,unclassified,AS16509,US,OK,Ubisoft; Activision; Rockstar; Bandai Namco; Sega; Konami,,,16,2,False,,True
247chess.com,unclassified,AS16509,US,OK,Sony; Ubisoft; Activision; Rockstar; Sega; Konami,,,11,2,False,,True
247games.com,unclassified,AS16509,US,OK,Activision; Rockstar; Sega; Konami,ISO,,5,2,False,,True
247slots.org,unclassified,AS16509,US,OK,Ubisoft; Activision; Rockstar; Sega; Konami,,,6,2,False,,True
25-in-1-games-gamebanjo-ios.soft112.com,mobile,,,OK,Square Enix; Capcom; Activision; Konami; Valve,,,5,4,True,2026,True
2dark-pc-download.webnode.page,unclassified,,,EMPTY,,,,0,0,False,,False
2dark.luadist.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games; Valve,,,2,4,True,2026,True
2xko.riotgames.com,unclassified,,,OK,Sony; Ubisoft; Activision; Rockstar; Sega; Konami; Valve,,,3,4,True,2026,False
30xx.luadist.org,unclassified,AS13335,US,OK,Nintendo; Square Enix; Sony; EA; Ubisoft; Activision; Rockstar; Sega; Konami; 2K Games; Valve,,,2,4,True,2026,True
32r.com,unclassified,,,OK,Nintendo; Square Enix; Ubisoft; Activision; Rockstar; Bandai Namco; Sega; FromSoftware; Valve,,,0,4,True,2026,False
33pcgames.com,unclassified,,,EMPTY,,,,0,0,False,,False
3c.yipee.cc,unclassified,AS13335,US,OK,Nintendo; Activision; Rockstar; CD Projekt,ROM,,1,4,True,2026,False
3d-escape-game-chinese-room-ios.soft112.com,ROM,,,OK,Square Enix; Capcom; Activision; Konami; Valve,,,5,4,True,2026,True
3d-escape-room-detective-story.soft112.com,unclassified,,,OK,Square Enix; Capcom; Activision; Konami; Valve,,,5,4,True,2026,True
3d-escape-room-mystic-manor-ios.soft112.com,mobile,,,OK,Square Enix; Capcom; Activision; Konami; Valve,,,5,4,True,2026,True
